vdot,intensity,distance_m,seconds
73,I,400,69.0
73,I,1000,173.0
73,I,1200,207.0
73,I,1609.34,277.0
73,M,1000,196.0
73,M,1609.34,316.0
73,R,200,31.0
73,R,300,47.0
73,R,400,62.0
73,R,600,86.0
73,T,400,75.0
73,T,800,150.0
73,T,1000,188.0
73,T,1609.34,302.0
74,E,1000,232.0
74,E,1609.34,373.0
74,I,400,68.0
74,I,1000,171.0
74,I,1200,205.0
74,I,1609.34,274.0
74,M,1000,194.0
74,M,1609.34,312.0
74,R,200,31.0
74,R,300,46.0
74,R,400,62.0
74,R,600,85.0
74,T,400,74.0
74,T,800,149.0
74,T,1000,186.0
74,T,1609.34,299.0
75,E,1000,229.0
75,E,1609.34,369.0
75,I,400,67.0
75,I,1000,169.0
75,I,1200,202.0
75,I,1609.34,271.0
75,M,1000,192.0
75,M,1609.34,309.0
75,R,200,30.0
75,R,300,46.0
75,R,400,61.0
75,R,600,84.0
75,T,400,74.0
75,T,800,147.0
75,T,1000,184.0
75,T,1609.34,296.0
76,E,1000,227.0
76,E,1609.34,365.0
76,I,400,66.0
76,I,1000,168.0
76,I,1200,200.0
76,I,1609.34,268.0
76,M,1000,190.0
76,M,1609.34,305.0
76,R,200,30.0
76,R,300,45.0
76,R,400,60.0
76,R,600,82.0
76,T,400,73.0
76,T,800,146.0
76,T,1000,182.0
76,T,1609.34,292.0
77,E,1000,224.0
77,E,1609.34,361.0
77,I,400,65.0
77,I,1000,166.0
77,I,1200,198.0
77,I,1609.34,265.0
77,M,1000,188.0
77,M,1609.34,301.0
77,R,200,29.0
77,R,300,45.0
77,R,400,59.0
77,R,600,81.0
77,R,800,120.0
77,T,400,72.0
77,T,800,144.0
77,T,1000,180.0
77,T,1609.34,289.0
78,E,1000,222.0
78,E,1609.34,357.0
78,I,400,65.0
78,I,1000,164.0
78,I,1200,196.0
78,I,1609.34,263.0
78,M,1000,186.0
78,M,1609.34,298.0
78,R,200,29.0
78,R,300,44.0
78,R,400,59.0
78,R,600,80.0
78,R,800,119.0
78,T,400,71.0
78,T,800,142.0
78,T,1000,178.0
78,T,1609.34,286.0
79,E,1000,220.0
79,E,1609.34,354.0
79,I,400,64.0
79,I,1000,162.0
79,I,1200,194.0
79,I,1609.34,260.0
79,M,1000,183.0
79,M,1609.34,295.0
79,R,200,29.0
79,R,300,44.0
79,R,400,58.0
79,R,600,79.0
79,R,800,118.0
79,T,400,70.0
79,T,800,141.0
79,T,1000,176.0
79,T,1609.34,283.0
80,E,1000,218.0
80,E,1609.34,350.0
80,I,400,64.0
80,I,1000,161.0
80,I,1200,192.0
80,I,1609.34,257.0
80,M,1000,181.0
80,M,1609.34,292.0
80,R,200,29.0
80,R,300,43.0
80,R,400,58.0
80,R,600,78.0
80,R,800,116.0
80,T,400,70.0
80,T,800,139.0
80,T,1000,174.0
80,T,1609.34,281.0
81,E,1000,215.0
81,E,1609.34,346.0
81,I,400,63.0
81,I,1000,159.0
81,I,1200,190.0
81,I,1609.34,255.0
81,M,1000,180.0
81,M,1609.34,289.0
81,R,200,28.0
81,R,300,43.0
81,R,400,57.0
81,R,600,77.0
81,R,800,115.0
81,T,400,69.0
81,T,800,138.0
81,T,1000,173.0
81,T,1609.34,278.0
82,E,1000,213.0
82,E,1609.34,343.0
82,I,400,62.0
82,I,1000,158.0
82,I,1200,188.0
82,I,1609.34,252.0
82,M,1000,178.0
82,M,1609.34,286.0
82,R,200,28.0
82,R,300,42.0
82,R,400,56.0
82,R,600,76.0
82,R,800,114.0
82,T,400,68.0
82,T,800,137.0
82,T,1000,171.0
82,T,1609.34,275.0
83,E,1000,211.0
83,E,1609.34,340.0
83,I,400,62.0
83,I,1000,156.0
83,I,1200,187.0
83,I,1609.34,250.0
83,M,1000,176.0
83,M,1609.34,283.0
83,R,200,28.0
83,R,300,42.0
83,R,400,56.0
83,R,600,75.0
83,R,800,113.0
83,T,400,68.0
83,T,800,135.0
83,T,1000,169.0
83,T,1609.34,272.0
84,E,1000,209.0
84,E,1609.34,336.0
84,I,400,61.0
84,I,1000,155.0
84,I,1200,185.0
