vdot,distance_m,seconds
81,42195.0,7577.0
82,1500,209.7
82,1609.34,226.4
82,3000,447.8
82,3218.69,483.7
82,5000,781.0
82,8000,1289.0
82,8045.47,1297.0
82,10000,1627.0
82,15000,2492.0
82,16093.4,2687.0
82,20000,3383.0
82,21097.5,3578.0
82,25000,4303.0
82,30000,5232.0
82,42195.0,7497.0
83,1500,207.6
83,1609.34,224.1
83,3000,443.1
83,3218.69,478.7
83,5000,773.0
83,8000,1276.0
83,8045.47,1284.0
83,10000,1611.0
83,15000,2466.0
83,16093.4,2659.0
83,20000,3348.0
83,21097.5,3541.0
83,25000,4259.0
83,30000,5178.0
83,42195.0,7420.0
84,1500,205.5
84,1609.34,221.8
84,3000,438.5
84,3218.69,473.7
84,5000,765.0
84,8000,1262.0
84,8045.47,1270.0
84,10000,1594.0
84,15000,2442.0
84,16093.4,2633.0
84,20000,3314.0
84,21097.5,3505.0
84,25000,4215.0
84,30000,5125.0
84,42195.0,7344.0
85,1500,203.5
85,1609.34,219.6
85,3000,434.1
85,3218.69,468.9
85,5000,757.0
85,8000,1250.0
85,8045.47,1258.0
85,10000,1579.0
85,15000,2417.0
85,16093.4,2606.0
85,20000,3280.0
85,21097.5,3470.0
85,25000,4173.0
85,30000,5073.0
85,42195.0,7270.0
